2025-07-29 20:19:24 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:19:54 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:19:54 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:20:24 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:20:24 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:20:54 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:20:54 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:20:56 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:20:56 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:21:27 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:21:27 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:21:57 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:21:57 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:22:26 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:22:26 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:22:45 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:22:45 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:34:02 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:34:02 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:34:48 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:34:48 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:35:19 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:35:19 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:35:50 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:35:50 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:36:21 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:36:21 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:36:53 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:36:53 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:37:23 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:37:23 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:37:54 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:37:54 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:37:57 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:37:57 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:38:29 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:38:29 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:38:59 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:38:59 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:41:04 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:41:04 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:41:42 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:41:42 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:41:47 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:41:47 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:42:19 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:42:19 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:42:50 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:42:50 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:43:21 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:43:21 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:43:52 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:43:52 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:43:54 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:43:54 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:44:25 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:44:25 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:44:45 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:44:45 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:45:21 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:45:21 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:45:28 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:45:28 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
2025-07-29 20:45:58 | athalia.athalia | INFO | 🚀 Athalia Pipeline démarré avec logging avancé
2025-07-29 20:45:58 | athalia.athalia | INFO | 💡 Conseil: Utilisez Ctrl+C pour un arrêt propre
